Titulo,Conteúdo
Recorde Mundial Natação - 50m livre,"Na prova de 50m livre (piscina de 50m), o recorde mundial é do atleta Cameron McEvoy (Austrália). O tempo recorde é de 20.88 *, estabelecido em 20 de março de 2026 na competição Aberto da China (Shenzen, República Popular da China)."
Recorde Mundial Natação - 100m livre,"Na prova de 100m livre (piscina de 50m), o recorde mundial é do atleta Pan Zhanle (República Popular da China). O tempo recorde é de 46.40, estabelecido em 31 de julho de 2024 na competição Jogos Olímpicos Paris 2024."
Recorde Mundial Natação - 200m livre,"Na prova de 200m livre (piscina de 50m), o recorde mundial é do atleta Paul Biedermann (Alemanha). O tempo recorde é de 1:42.00, estabelecido em 28 de julho de 2009 na competição Campeonato Mundial (Roma, Itália)."
Recorde Mundial Natação - 400m livre,"Na prova de 400m livre (piscina de 50m), o recorde mundial é do atleta Lukas Märtens (Alemanha). O tempo recorde é de 3:39.96, estabelecido em 12 de abril de 2025 na competição Swim Open (Estocolmo, Suécia)."
Recorde Mundial Natação - 800m livre,"Na prova de 800m livre (piscina de 50m), o recorde mundial é do atleta Zhang Lin (República Popular da China). O tempo recorde é de 7:32.12, estabelecido em 29 de julho de 2009 na competição Campeonato Mundial (Roma, Itália)."
Recorde Mundial Natação - 1500m livre,"Na prova de 1500m livre (piscina de 50m), o recorde mundial é do atleta Bobby Finke (EUA). O tempo recorde é de 14:30.67, estabelecido em 4 de agosto de 2024 na competição Jogos Olímpicos Paris 2024."
Recorde Mundial Natação - 50m costas,"Na prova de 50m costas (piscina de 50m), o recorde mundial é do atleta Kliment Kolesnikov (Rússia). O tempo recorde é de 23.55, estabelecido em 27 de julho de 2023 na competição Copa Russa (Kazan)."
Recorde Mundial Natação - 100m costas,"Na prova de 100m costas (piscina de 50m), o recorde mundial é do atleta Thomas Ceccon (Itália). O tempo recorde é de 51.60, estabelecido em 20 de junho de 2022 na competição Campeonato Mundial (Budapeste, Hungria)."
Recorde Mundial Natação - 200m costas,"Na prova de 200m costas (piscina de 50m), o recorde mundial é do atleta Aaron Peirsol (EUA). O tempo recorde é de 1:51.92, estabelecido em 31 de julho de 2009 na competição Campeonato Mundial (Roma, Itália)."
Recorde Mundial Natação - 50m peito,"Na prova de 50m peito (piscina de 50m), o recorde mundial é do atleta Adam Peaty (Grã-Bretanha). O tempo recorde é de 25.95, estabelecido em 25 de julho de 2017 na competição Campeonato Mundial (Budapeste, Hungria)."
Recorde Mundial Natação - 100m peito,"Na prova de 100m peito (piscina de 50m), o recorde mundial é do atleta Adam Peaty (Grã-Bretanha). O tempo recorde é de 56.88, estabelecido em 21 de julho de 2019 na competição Campeonato Mundial (Gwangju, República da Coreia)."
Recorde Mundial Natação - 200m peito,"Na prova de 200m peito (piscina de 50m), o recorde mundial é do atleta Qin Haiyang (República Popular da China). O tempo recorde é de 2:05.48, estabelecido em 28 de julho de 2023 na competição Campeonato Mundial (Fukuoka, Japão)."
Recorde Mundial Natação - 50m borboleta,"Na prova de 50m borboleta (piscina de 50m), o recorde mundial é do atleta Andrii Govorov (Ucrânia). O tempo recorde é de 22.27, estabelecido em 1 de julho de 2018 na competição Troféu Sette Coll (Roma, Itália)."
Recorde Mundial Natação - 100m borboleta,"Na prova de 100m borboleta (piscina de 50m), o recorde mundial é do atleta Caeleb Dressel (EUA). O tempo recorde é de 49.95, estabelecido em 31 de julho de 2021 na competição Jogos Olímpicos Tóquio 2020."
Recorde Mundial Natação - 200m borboleta,"Na prova de 200m borboleta (piscina de 50m), o recorde mundial é do atleta Kristof Milak (Hungria). O tempo recorde é de 1:50.34, estabelecido em 21 de junho de 2022 na competição Campeonato Mundial (Budapeste, Hungria)."
Recorde Mundial Natação - 200m medley individual,"Na prova de 200m medley individual (piscina de 50m), o recorde mundial é do atleta Léon Marchand (França). O tempo recorde é de 1:52.69, estabelecido em 30 de julho de 2025 na competição Campeonato Mundial (Singapura)."
Recorde Mundial Natação - 400m medley individual,"Na prova de 400m medley individual (piscina de 50m), o recorde mundial é do atleta Léon Marchand (França). O tempo recorde é de 4:02.50, estabelecido em 23 de julho de 2023 na competição Campeonato Mundial (Fukuoka, Japão)."
Recorde Mundial Natação - Revezamento 4x100m livre,"Na prova de Revezamento 4x100m livre (piscina de 50m), o recorde mundial é do atleta Michael Phelps, Garrett Weber-Gale, Cullen Jones, Jason Lezak (EUA). O tempo recorde é de 3:08.24, estabelecido em 11 de agosto de 2008 na competição Jogos Olímpicos Beijing 2008."
Recorde Mundial Natação - Revezamento 4x200m livre,"Na prova de Revezamento 4x200m livre (piscina de 50m), o recorde mundial é do atleta Michael Phelps, Ricky Berens, David Walters, Ryan Lochte (EUA). O tempo recorde é de 6:58.55, estabelecido em 31 de julho de 2009 na competição Campeonato Mundial (Roma, Itália)."
Recorde Mundial Natação - Revezamento 4x100m medley,"Na prova de Revezamento 4x100m medley (piscina de 50m), o recorde mundial é do atleta Ryan Murphy, Michael Andrew, Caeleb Dressel, Zach Apple (EUA). O tempo recorde é de 3:26.78, estabelecido em 1º de agosto de 2021 na competição Jogos Olímpicos Tóquio 2020."
